T,TM,Tm,SLP,H,W,V,VM,PM 2.5
nan,nan,nan,nan,nan,nan,nan,nan,148.125

nan,nan,nan,nan,nan,nan,nan,nan,184.875

14.6,17.3,12.7,1018.4,96,1,8.7,11.1,202.91666666666663

15.1,19.7,12.2,1019,91,1.1,7.6,11.1,205.125

15.7,21.7,11.7,1019,71,2.7,8.3,13,214.125

nan,nan,nan,nan,nan,nan,nan,nan,202.95833333333331

nan,nan,nan,nan,nan,nan,nan,nan,308.875

nan,nan,nan,nan,nan,nan,nan,nan,323.875

18.9,24.8,13,1017.6,48,3.7,8.7,14.8,315.7916666666667

18.4,25,13.4,1017.4,56,3.7,7.4,14.8,322.25

18.3,25.8,12,1016.1,58,3.5,7,9.4,246.04166666666663

19.2,27.3,12.4,1013.8,59,3.7,5.7,9.4,200.91666666666663

nan,nan,nan,nan,nan,nan,nan,nan,187.16666666666663

nan,nan,nan,nan,nan,nan,nan,nan,187.79166666666663

nan,nan,nan,nan,nan,nan,nan,nan,167.79166666666666

22.3,29.6,17.2,1009.5,63,4,16.5,31.3,99.5

20.7,27.8,13.6,1009.2,62,3.7,9.4,18.3,143.91666666666666

17.7,24.7,13.1,1010.4,65,3.7,9.1,14.8,100.25

nan,nan,nan,nan,nan,nan,nan,nan,126.0

nan,nan,nan,nan,nan,nan,nan,nan,163.91666666666666

nan,nan,nan,nan,nan,nan,nan,nan,152.875

18.5,26.3,14.4,1010.1,63,4,10.9,16.5,165.0

19.3,25.9,15,1010.6,69,4,13.9,18.3,116.45833333333331

16,22.8,12,1011.7,70,4,10.6,25.9,143.0

nan,nan,nan,nan,nan,nan,nan,nan,194.91666666666663

nan,nan,nan,nan,nan,nan,nan,nan,130.66666666666666

nan,nan,nan,nan,nan,nan,nan,nan,152.375

20.1,29.2,11.4,1014.3,54,4,6.5,11.1,231.125

21.8,30.6,12.4,1012.4,56,3.7,7.6,11.1,218.66666666666663

22.7,30.6,17,1011.3,66,3.7,11.7,20.6,211.0

nan,nan,nan,nan,nan,nan,nan,nan,172.0

nan,nan,nan,nan,nan,nan,nan,nan,184.875

nan,nan,nan,nan,nan,nan,nan,nan,95.41666666666669

17.8,23.7,16.4,1015.8,88,1.8,12.8,22.2,52.208333333333336

19.3,26.9,16.4,1013.5,90,3.5,13.3,18.3,187.5

20.3,28.4,15.4,1011.3,80,4,13.9,22.2,130.16666666666666

nan,nan,nan,nan,nan,nan,nan,nan,68.91666666666667

18.5,25.6,14.1,1013.4,66,3.7,10.7,14.8,123.125

17.8,23.8,13.4,1016.1,65,3.7,8.7,14.8,120.91666666666669

19.4,25.2,14.9,-,54,4,10,14.8,153.625

nan,nan,nan,nan,nan,nan,nan,nan,119.41666666666669

nan,nan,nan,nan,nan,nan,nan,nan,110.75

nan,nan,nan,nan,nan,nan,nan,nan,94.29166666666669

22.6,29.2,16,1014.8,59,3.7,11.3,16.5,130.33333333333334

23.4,29.7,16.4,1016,56,3.7,11.9,18.3,110.70833333333331

22.8,29.3,18.3,1013.7,60,3.7,11.3,27.8,138.5

nan,nan,nan,nan,nan,nan,nan,nan,39.29166666666666

nan,nan,nan,nan,nan,nan,nan,nan,44.91666666666666

nan,nan,nan,nan,nan,nan,nan,nan,52.375

23.3,29.7,18.6,1014.3,68,3.7,11.5,22.2,75.75

24.9,32.5,17.6,1013.2,62,4,9.6,14.8,146.54166666666666

26.9,35.2,19.2,1014,56,4,10,18.3,116.625

nan,nan,nan,nan,nan,nan,nan,nan,163.0

nan,nan,nan,nan,nan,nan,nan,nan,162.08333333333334

nan,nan,nan,nan,nan,nan,nan,nan,63.458333333333336

24.9,33.6,16,1012.6,50,4,10.7,14.8,80.04166666666667

26.3,34.8,18,1010.2,45,4,9.8,22.2,100.04166666666669

26.3,35.4,17.4,1007.8,45,4,15.6,29.4,109.45833333333331

nan,nan,nan,nan,nan,nan,nan,nan,103.08333333333331

nan,nan,nan,nan,nan,nan,nan,nan,208.83333333333331

nan,nan,nan,nan,nan,nan,nan,nan,74.66666666666667

27.2,34.3,22.5,-,37,4,5.7,79.1,110.16666666666669

29.1,36.5,21.8,1008.6,32,4,10.4,18.3,108.20833333333331

29.6,37.8,22.4,1008.8,34,4,9.1,22.2,103.83333333333331

nan,nan,nan,nan,nan,nan,nan,nan,111.5

nan,nan,nan,nan,nan,nan,nan,nan,98.58333333333331

nan,nan,nan,nan,nan,nan,nan,nan,60.41666666666666

29.4,37.1,22.4,1007.2,30,4,12.4,18.3,74.29166666666667

29.4,36.5,20,1005.9,26,4,17.6,27.8,101.79166666666669

28.2,36.3,21.4,1006.3,29,4,12.2,18.3,106.16666666666669

29.2,36.9,21.8,1008.8,31,4,11.1,18.3,89.875

nan,nan,nan,nan,nan,nan,nan,nan,71.95833333333333

nan,nan,nan,nan,nan,nan,nan,nan,76.41666666666667

nan,nan,nan,nan,nan,nan,nan,nan,113.375

30.2,38.2,23.4,1008.8,32,4,14.6,22.2,48.208333333333336

29.4,36.7,24.1,1008.8,35,4,11.3,14.8,47.04166666666666

29.2,36.8,21.2,1009.3,28,4,10.2,18.3,67.79166666666667

nan,nan,nan,nan,nan,nan,nan,nan,65.45833333333333

nan,nan,nan,nan,nan,nan,nan,nan,77.75

nan,nan,nan,nan,nan,nan,nan,nan,114.45833333333331

30.2,38.8,22.4,1006.7,30,3.7,7.4,11.1,56.66666666666666

29.7,39.8,23.4,-,34,4,11.5,18.3,79.0

31.8,39.1,23.6,1007.5,34,3.7,11.1,22.2,123.58333333333331

nan,nan,nan,nan,nan,nan,nan,nan,97.875

nan,nan,nan,nan,nan,nan,nan,nan,77.33333333333333

nan,nan,nan,nan,nan,nan,nan,nan,48.333333333333336

29.3,35,23.6,1009.4,45,4,8.5,18.3,80.29166666666667

28.6,36.2,22.6,1009.6,44,4,15.4,44.6,137.875

30.1,37.1,22,1009,36,4,8.3,14.8,87.875

nan,nan,nan,nan,nan,nan,nan,nan,61.875

nan,nan,nan,nan,nan,nan,nan,nan,82.125

nan,nan,nan,nan,nan,nan,nan,nan,139.91666666666666

32.3,40.8,22.6,1006.7,27,4,8.5,18.3,121.20833333333331

33.4,41.7,26,1005.3,23,4,11.3,16.5,97.04166666666669

33.6,42.1,25.4,-,24,4,8.1,14.8,92.08333333333331

nan,nan,nan,nan,nan,nan,nan,nan,105.75

nan,nan,nan,nan,nan,nan,nan,nan,119.16666666666669

nan,nan,nan,nan,nan,nan,nan,nan,121.45833333333331

35,42.7,28,1003.5,20,4,20.7,27.8,130.625

34.3,41.7,27,1003.3,20,4,21.5,40.7,90.5

32.9,39.7,27.4,1003.7,27,4,12.6,14.8,55.41666666666666

nan,nan,nan,nan,nan,nan,nan,nan,79.29166666666667

nan,nan,nan,nan,nan,nan,nan,nan,81.875

nan,nan,nan,nan,nan,nan,nan,nan,73.20833333333333

33.3,40.4,25.4,1003.9,31,4,9.1,14.8,108.33333333333331

31.9,40.6,26,1003.1,39,4,7.8,14.8,198.875

32.7,38.8,27,1001.4,33,4,8.9,11.1,120.70833333333331

nan,nan,nan,nan,nan,nan,nan,nan,117.375

nan,nan,nan,nan,nan,nan,nan,nan,86.83333333333333

nan,nan,nan,nan,nan,nan,nan,nan,88.625

31.6,38.8,26,1006,29,4,17.4,35.2,60.54166666666666

28.2,37.3,24.3,1006.5,44,3.7,12,25.9,79.0

31.2,39.3,22.2,1004.8,34,4,15.2,18.3,133.70833333333334

nan,nan,nan,nan,nan,nan,nan,nan,87.08333333333333

nan,nan,nan,nan,nan,nan,nan,nan,107.91666666666669

nan,nan,nan,nan,nan,nan,nan,nan,76.625

34.9,41.8,26.4,1005.1,27,4,9.3,14.8,53.25

33.8,41.6,29.2,1004.9,30,4,10.9,22.2,65.16666666666667

34.1,41.5,28.5,1002.6,21,4,14.3,25.9,83.58333333333333

nan,nan,nan,nan,nan,nan,nan,nan,86.91666666666667

nan,nan,nan,nan,nan,nan,nan,nan,65.16666666666667

nan,nan,nan,nan,nan,nan,nan,nan,44.29166666666666

33.5,39.8,28,1003.8,37,4,16.9,29.4,40.66666666666666

31.9,39.6,28.3,1004.4,44,4,15,31.3,48.125

34,40.1,26.6,1003.5,33,4,9.6,18.3,103.16666666666669

nan,nan,nan,nan,nan,nan,nan,nan,119.70833333333331

nan,nan,nan,nan,nan,nan,nan,nan,124.25

nan,nan,nan,nan,nan,nan,nan,nan,143.04166666666666

36.8,44.3,30,1000.5,29,4,16.9,29.4,143.375

36.2,43.3,28,1003.6,33,4,10.4,18.3,44.79166666666666

36.7,43,30,1001.6,28,4,8.3,18.3,71.95833333333333

36.2,43.3,28,999.9,28,4,11.3,22.2,17.5

nan,nan,nan,nan,nan,nan,nan,nan,87.08333333333333

nan,nan,nan,nan,nan,nan,nan,nan,84.04166666666667

nan,nan,nan,nan,nan,nan,nan,nan,85.54166666666667

38.8,44.6,34,995.3,29,4,20.4,29.4,101.0

37.7,44.3,31.6,995.1,31,4,17.6,25.9,76.20833333333333

37.3,44.2,32,995.4,34,4,20.6,40.7,84.33333333333333

nan,nan,nan,nan,nan,nan,nan,nan,84.20833333333333

nan,nan,nan,nan,nan,nan,nan,nan,83.375

nan,nan,nan,nan,nan,nan,nan,nan,55.958333333333336

32.3,38.3,27.4,1000.1,44,4,16.9,25.9,48.833333333333336

33.1,38.7,27,999.9,44,4,21.1,33.5,64.45833333333333

31.9,39.4,28,1000.5,56,4,14.3,25.9,80.54166666666667

nan,nan,nan,nan,nan,nan,nan,nan,58.083333333333336

nan,nan,nan,nan,nan,nan,nan,nan,49.958333333333336

nan,nan,nan,nan,nan,nan,nan,nan,101.70833333333331

31.5,37.8,25.6,997,57,4,15.7,22.2,65.41666666666667

32.7,37.3,27.6,996.5,51,4,21.3,29.4,54.66666666666666

32.4,37.9,28,998.8,49,4,22.4,33.5,78.54166666666667

nan,nan,nan,nan,nan,nan,nan,nan,73.0

nan,nan,nan,nan,nan,nan,nan,nan,58.625

nan,nan,nan,nan,nan,nan,nan,nan,61.5

32.8,38.7,27.8,999.3,42,4,20.6,31.7,49.125

31.3,38.2,27.8,1002.6,54,4,12.8,22.2,65.875

32.6,39.4,27.6,1003,45,4,18.5,29.4,72.41666666666667

nan,nan,nan,nan,nan,nan,nan,nan,71.29166666666667

nan,nan,nan,nan,nan,nan,nan,nan,74.375

nan,nan,nan,nan,nan,nan,nan,nan,107.16666666666669

32,38.4,27.6,-,43,4,19.1,29.4,184.66666666666663

33.3,39.3,28.2,1001.9,38,4,16.5,33.5,113.33333333333331

33.1,39,28.4,999.2,40,4,21.7,33.5,146.20833333333334

nan,nan,nan,nan,nan,nan,nan,nan,65.375

nan,nan,nan,nan,nan,nan,nan,nan,111.04166666666669

nan,nan,nan,nan,nan,nan,nan,nan,111.125

30.4,37.3,25.4,1001.2,64,4,19.8,31.7,112.29166666666669

28.4,37.8,25,1000.5,66,3.1,21.9,37,60.625

29.9,35.5,26.2,1000.7,65,4,15.7,27.8,71.0

nan,nan,nan,nan,nan,nan,nan,nan,57.04166666666666

nan,nan,nan,nan,nan,nan,nan,nan,67.41666666666667

nan,nan,nan,nan,nan,nan,nan,nan,132.70833333333334

-,-,-,-,-,-,-,-,153.41666666666666

24.4,27.8,23.2,-,97,1.9,6.5,22.2,134.95833333333334

25.8,32,23.4,997.9,90,3.1,17,29.4,81.125

25.5,27.6,24,997.2,95,3.1,9.4,11.1,197.66666666666663

nan,nan,nan,nan,nan,nan,nan,nan,160.75

nan,nan,nan,nan,nan,nan,nan,nan,29.125

nan,nan,nan,nan,nan,nan,nan,nan,52.25

24.2,28.5,22,1000.4,91,3.1,23.2,33.5,160.375

25.8,27.7,24.4,999,83,2.6,28,37,99.375

23.9,24.4,23.4,-,96,1.8,27,63,123.875

nan,nan,nan,nan,nan,nan,nan,nan,131.41666666666666

nan,nan,nan,nan,nan,nan,nan,nan,53.875

nan,nan,nan,nan,nan,nan,nan,nan,31.45833333333333

23.9,24.8,22.2,1004.7,95,2.4,12.4,18.3,47.375

25.1,26.9,24.2,1003.5,94,1.8,15.2,22.2,38.16666666666666

25.7,28,24.4,1000.2,94,2.6,5.4,14.8,42.54166666666666

nan,nan,nan,nan,nan,nan,nan,nan,35.791666666666664

nan,nan,nan,nan,nan,nan,nan,nan,43.458333333333336

nan,nan,nan,nan,nan,nan,nan,nan,35.958333333333336

25.9,29.1,24.9,999.8,91,3.7,12.2,25.9,25.08333333333333

26.8,31.2,23.8,1000,84,10.3,16.1,22.2,45.833333333333336

26.6,29.7,24.4,999.2,87,4,18.3,27.8,33.708333333333336

nan,nan,nan,nan,nan,nan,nan,nan,31.875

nan,nan,nan,nan,nan,nan,nan,nan,69.79166666666667

nan,nan,nan,nan,nan,nan,nan,nan,62.91666666666666

24.3,26.5,22.6,-,92,3.2,15.6,22.2,26.416666666666668

25.6,29.3,23.2,1001.6,88,3.2,15.4,25.9,30.666666666666668

26.3,29.7,23.6,1003.4,82,4,16.1,25.9,29.95833333333333

nan,nan,nan,nan,nan,nan,nan,nan,47.458333333333336

nan,nan,nan,nan,nan,nan,nan,nan,48.91666666666666

nan,nan,nan,nan,nan,nan,nan,nan,37.125

25.6,28.2,23.8,1003.7,84,4,17.2,29.4,23.875

26.3,30,24,1003.4,80,4,21.5,37,22.33333333333333

26.2,29.3,24,1004.5,77,4,18.3,25.9,25.08333333333333

nan,nan,nan,nan,nan,nan,nan,nan,32.958333333333336

nan,nan,nan,nan,nan,nan,nan,nan,31.5

nan,nan,nan,nan,nan,nan,nan,nan,56.375

29,33.7,24.4,1007.2,70,3.1,9.6,22.2,66.79166666666667

29.6,34.3,25.2,1005.3,69,3.7,8.1,14.8,64.875

29.3,34.3,25.4,1003.4,72,4,8.5,22.2,47.583333333333336

nan,nan,nan,nan,nan,nan,nan,nan,48.29166666666666

nan,nan,nan,nan,nan,nan,nan,nan,51.375

nan,nan,nan,nan,nan,nan,nan,nan,43.375

28.2,34.5,24.8,1005.6,72,4,8.9,14.8,33.5

28.1,33.6,24,1004.6,79,3.5,9.6,14.8,43.04166666666666

28.3,33.2,23.8,1003.3,74,3.5,12.2,22.2,38.41666666666666

nan,nan,nan,nan,nan,nan,nan,nan,29.166666666666668

nan,nan,nan,nan,nan,nan,nan,nan,37.375

nan,nan,nan,nan,nan,nan,nan,nan,60.0

25.3,29.9,24.1,998.4,91,2.9,7.4,11.1,49.29166666666666

26.8,31.8,24,998.2,84,3.5,8.5,16.5,19.541666666666668

25.3,28.3,24,999,93,3.1,9.4,11.1,22.83333333333333

26.1,29.3,23.6,1002.1,86,3.7,17.6,22.2,24.291666666666668

nan,nan,nan,nan,nan,nan,nan,nan,25.291666666666668

nan,nan,nan,nan,nan,nan,nan,nan,23.416666666666668

nan,nan,nan,nan,nan,nan,nan,nan,47.04166666666666

25.4,28.1,23.6,1001.8,93,2.6,17.6,22.2,74.66666666666667

27.3,31.3,24.8,1000.6,82,3.7,11.1,14.8,41.875

25.9,30.3,24,1002.2,89,3.5,11.7,24.1,50.583333333333336

nan,nan,nan,nan,nan,nan,nan,nan,44.41666666666666

nan,nan,nan,nan,nan,nan,nan,nan,66.45833333333333

nan,nan,nan,nan,nan,nan,nan,nan,62.91666666666666

26.2,30.3,23.8,1005.8,84,3.5,13,22.2,58.125

25.6,31,23.2,1006.3,84,3.2,13.5,18.3,57.29166666666666

26.4,31.5,23,1005.7,81,3.5,14.3,22.2,38.25

nan,nan,nan,nan,nan,nan,nan,nan,57.208333333333336

nan,nan,nan,nan,nan,nan,nan,nan,50.333333333333336

nan,nan,nan,nan,nan,nan,nan,nan,50.41666666666666

27.6,32.7,23.2,1005.7,73,3.5,12.2,16.5,47.41666666666666

27.4,31.8,23,1004.5,73,3.7,16.9,22.2,56.91666666666666

27.1,31.6,23.4,1005.4,74,3.7,16.5,22.2,54.625

nan,nan,nan,nan,nan,nan,nan,nan,42.875

nan,nan,nan,nan,nan,nan,nan,nan,41.208333333333336

nan,nan,nan,nan,nan,nan,nan,nan,42.375

27.3,33.7,21.6,1009.3,68,3.7,5.6,11.1,45.958333333333336

27.5,34.4,22.2,1010.2,65,3.5,4.6,9.4,52.25

26.5,34,23.6,1011.4,77,3.5,10.9,40.7,43.333333333333336

nan,nan,nan,nan,nan,nan,nan,nan,41.875

nan,nan,nan,nan,nan,nan,nan,nan,44.41666666666666

nan,nan,nan,nan,nan,nan,nan,nan,49.5

27.2,34.2,21.2,1011.4,64,4,3.1,7.6,41.958333333333336

27.7,34.3,21.4,1010.9,60,3.7,9.6,22.2,0.0

27.8,34.4,21.6,1006,61,4,9.3,16.5,0.0

nan,nan,nan,nan,nan,nan,nan,nan,0.0

nan,nan,nan,nan,nan,nan,nan,nan,0.0

nan,nan,nan,nan,nan,nan,nan,nan,0.0

26.8,33,22.2,1008.5,66,3.5,3.5,14.8,45.75

26,33.4,21.6,1009.1,75,3.1,6.3,14.8,70.70833333333333

26.3,33.2,22,1009.6,77,3.2,4.3,11.1,51.79166666666666

nan,nan,nan,nan,nan,nan,nan,nan,66.75

nan,nan,nan,nan,nan,nan,nan,nan,39.958333333333336

nan,nan,nan,nan,nan,nan,nan,nan,0.0

25.5,30.4,21,1005.7,68,4,14.8,18.3,0.0

25.9,31.3,22,1008.7,61,4,8.3,11.1,11.583333333333334

25.9,32.8,21.5,1012.7,65,3.7,8,9.4,13.0

nan,nan,nan,nan,nan,nan,nan,nan,7.875

nan,nan,nan,nan,nan,nan,nan,nan,33.541666666666664

nan,nan,nan,nan,nan,nan,nan,nan,151.04166666666666

26,32,21.4,1011.2,76,3.5,5.9,14.8,156.25

24.9,32.3,20.4,1012.8,64,3.7,7.2,13,156.0

25.5,33,19.8,1014.2,59,3.7,5.7,9.4,151.79166666666666

nan,nan,nan,nan,nan,nan,nan,nan,181.54166666666663

nan,nan,nan,nan,nan,nan,nan,nan,219.95833333333331

nan,nan,nan,nan,nan,nan,nan,nan,231.0

24.1,29.8,20.6,1011.7,63,4,8.5,18.3,252.625

23.6,30,19,1014.3,65,4,8.7,14.8,119.41666666666669

22.8,30.5,17.5,1011.5,63,3.7,7,11.1,126.0

nan,nan,nan,nan,nan,nan,nan,nan,172.66666666666666

nan,nan,nan,nan,nan,nan,nan,nan,207.04166666666663

nan,nan,nan,nan,nan,nan,nan,nan,230.25

25.2,33.1,17,1012.7,54,3.7,10.2,18.3,232.33333333333331

24.8,33.3,17.4,1012.7,53,3.5,4.6,9.4,215.54166666666663

23.5,31.4,17.6,1014.4,56,2.1,5.7,11.1,239.41666666666663

24.2,32.3,16.8,1013.8,53,3.1,5.6,9.4,196.54166666666663

nan,nan,nan,nan,nan,nan,nan,nan,206.75

nan,nan,nan,nan,nan,nan,nan,nan,235.58333333333331

nan,nan,nan,nan,nan,nan,nan,nan,199.875

24,31.4,17.4,1013.1,53,3.5,8.9,14.8,232.54166666666663

24,31.3,18,1014,51,3.7,7.6,22.2,185.5

24.1,31.1,18.4,1014.4,51,3.7,9.3,18.3,282.1666666666667

nan,nan,nan,nan,nan,nan,nan,nan,226.45833333333331

nan,nan,nan,nan,nan,nan,nan,nan,222.125

nan,nan,nan,nan,nan,nan,nan,nan,317.0

24.8,31.9,19.4,1014.3,64,3.2,4.8,7.6,257.6666666666667

24.5,32,19.4,1014.8,65,3.2,3,7.6,166.875

24.3,29.3,20.6,1013.7,71,1.9,6.9,14.8,135.16666666666666

nan,nan,nan,nan,nan,nan,nan,nan,133.125

nan,nan,nan,nan,nan,nan,nan,nan,175.04166666666666

nan,nan,nan,nan,nan,nan,nan,nan,189.66666666666663

20.5,29.1,13,1016,46,3.7,7.4,18.3,211.45833333333331

20.2,29.3,12.8,1015,51,3.7,6.5,18.3,215.5

20.8,29.5,13,1013.9,49,3.5,5.4,11.1,223.375

nan,nan,nan,nan,nan,nan,nan,nan,187.54166666666663

nan,nan,nan,nan,nan,nan,nan,nan,198.45833333333331

nan,nan,nan,nan,nan,nan,nan,nan,156.70833333333334

20.9,28.9,14.4,1014.6,54,3.7,3.5,9.4,135.58333333333334

20.6,29,13.4,1011.8,54,3.7,4.8,14.8,152.04166666666666

22,30.3,14.8,1011.7,60,3.5,3.9,11.1,141.41666666666666

nan,nan,nan,nan,nan,nan,nan,nan,248.625

nan,nan,nan,nan,nan,nan,nan,nan,162.54166666666666

nan,nan,nan,nan,nan,nan,nan,nan,0.0

21.8,29.3,14.2,1014.2,53,3.7,8.1,18.3,46.708333333333336

20.7,29.1,14.7,1015,53,3.7,5.7,11.1,91.75

19.4,27.7,12.5,1015.2,44,3.5,7.2,22.2,99.91666666666669

nan,nan,nan,nan,nan,nan,nan,nan,113.375

nan,nan,nan,nan,nan,nan,nan,nan,166.70833333333334

nan,nan,nan,nan,nan,nan,nan,nan,146.66666666666666

18.4,26.8,11,1015.5,49,3.5,7,14.8,119.70833333333331

19.5,27.7,12.4,1014.6,43,4,6.9,11.1,110.875

19.7,28.8,12.6,1015,51,3.7,2.6,11.1,200.33333333333331

nan,nan,nan,nan,nan,nan,nan,nan,161.79166666666666

nan,nan,nan,nan,nan,nan,nan,nan,169.04166666666666

nan,nan,nan,nan,nan,nan,nan,nan,216.79166666666663

20.5,25.4,17,1013.5,80,2.4,15,27.8,203.58333333333331

17.8,24.4,12.3,1014.7,73,3.1,9.4,14.8,25.08333333333333

14.9,20.1,11.1,-,83,1.3,7,14.8,57.083333333333336

nan,nan,nan,nan,nan,nan,nan,nan,152.83333333333334

nan,nan,nan,nan,nan,nan,nan,nan,177.70833333333334

nan,nan,nan,nan,nan,nan,nan,nan,239.04166666666663

14.3,21.5,8,1021,67,3.5,4.4,11.1,349.2916666666667

15.6,22,10.2,1018,61,2.1,3.1,9.4,188.04166666666663

16.1,24.5,10.4,1015.5,61,2.4,6.7,9.4,310.25

nan,nan,nan,nan,nan,nan,nan,nan,375.7916666666667

nan,nan,nan,nan,nan,nan,nan,nan,297.7916666666667

nan,nan,nan,nan,nan,nan,nan,nan,441.7916666666667

16.4,23.8,11.4,1017.7,64,2.3,5.9,11.1,204.375

15.3,22.3,9,1017.5,57,3.1,5,14.8,223.25

13.9,22.5,7.2,1018,50,3.2,0.9,7.6,248.95833333333331

nan,nan,nan,nan,nan,nan,nan,nan,441.4166666666667

nan,nan,nan,nan,nan,nan,nan,nan,237.79166666666663

nan,nan,nan,nan,nan,nan,nan,nan,334.875

-,-,-,-,-,-,-,-,nan

14.3,14.5,14.1,1013.9,97,1,13.9,22.2,172.75

14.7,15.3,13.6,1015.4,98,0.5,8.3,11.1,146.79166666666666

15.7,17.9,13.5,1017,95,1.4,3.7,9.4,113.875

nan,nan,nan,nan,nan,nan,nan,nan,144.75

nan,nan,nan,nan,nan,nan,nan,nan,118.45833333333331

nan,nan,nan,nan,nan,nan,nan,nan,170.91666666666666

15.8,25.1,9.6,1015.2,67,3.5,8.1,14.8,227.0

15.3,22.6,10,1017.6,68,3.5,3,11.1,231.25

15.2,23.6,9,1018.9,62,3.1,3,7.6,272.125

nan,nan,nan,nan,nan,nan,nan,nan,205.25

nan,nan,nan,nan,nan,nan,nan,nan,256.0

nan,nan,nan,nan,nan,nan,nan,nan,272.4166666666667

15.5,23.5,9.2,1015.8,71,3.5,4.8,14.8,228.79166666666663

16.7,25.7,9.6,1014.6,64,3.7,7,18.3,200.875

15.6,22.4,11,1017.1,79,1.6,8.3,14.8,214.04166666666663

nan,nan,nan,nan,nan,nan,nan,nan,210.0

nan,nan,nan,nan,nan,nan,nan,nan,210.125

nan,nan,nan,nan,nan,nan,nan,nan,227.75

15,22.7,9,1017.4,60,3.2,10.4,14.8,217.25

17.3,24,9.2,1016.9,58,3.5,7.8,9.4,212.45833333333331

19.9,26.6,13.4,1017.8,55,4,11.1,14.8,202.66666666666663

nan,nan,nan,nan,nan,nan,nan,nan,149.875

nan,nan,nan,nan,nan,nan,nan,nan,85.08333333333333

nan,nan,nan,nan,nan,nan,nan,nan,102.875

16.6,21.2,14,1017.7,93,1,10,14.8,138.79166666666666

16,19.6,14.3,1017.6,95,0.5,8.9,14.8,153.08333333333334

15,16.7,14.1,1017.8,96,0.6,9.4,14.8,159.70833333333334

nan,nan,nan,nan,nan,nan,nan,nan,147.375

nan,nan,nan,nan,nan,nan,nan,nan,171.0

nan,nan,nan,nan,nan,nan,nan,nan,133.41666666666666

15.9,24.3,8.4,1018.1,60,3.5,3.1,9.4,151.875

19.4,28.1,11.4,1015.8,54,3.7,10.2,14.8,224.79166666666663

21.5,28.8,15.6,1015.1,55,4,12.8,14.8,177.625

22.4,29.3,17.9,1018.4,67,4,13,22.2,149.625

nan,nan,nan,nan,nan,nan,nan,nan,114.20833333333331

nan,nan,nan,nan,nan,nan,nan,nan,97.5

nan,nan,nan,nan,nan,nan,nan,nan,162.0

19,26.1,13.8,1015,74,3.7,1.9,14.8,161.16666666666666

18.3,24.2,14.5,1015.4,72,3.7,11.3,18.3,136.75

17.8,24.3,11.8,1018,68,4,5,14.8,50.91666666666666

nan,nan,nan,nan,nan,nan,nan,nan,117.20833333333331

nan,nan,nan,nan,nan,nan,nan,nan,146.75

nan,nan,nan,nan,nan,nan,nan,nan,166.33333333333334

18.6,25.8,11.8,1014.7,55,3.7,3.7,18.3,120.20833333333331

21.1,30.9,12.2,-,49,4,6.5,18.3,137.125

21.5,29.9,14.6,1012.5,54,4,5.4,18.3,197.08333333333331

nan,nan,nan,nan,nan,nan,nan,nan,161.91666666666666

nan,nan,nan,nan,nan,nan,nan,nan,161.375

nan,nan,nan,nan,nan,nan,nan,nan,144.16666666666666

23.8,31.7,15.2,1011.9,44,4,4.8,9.4,166.375

24.6,32.7,18.4,1012.9,43,4,4.6,9.4,126.58333333333331

23.7,32.1,16.8,1014,48,4,3,11.1,94.91666666666669

nan,nan,nan,nan,nan,nan,nan,nan,64.95833333333333

nan,nan,nan,nan,nan,nan,nan,nan,157.25

nan,nan,nan,nan,nan,nan,nan,nan,182.54166666666663

25.6,33.9,18.6,1008.5,41,4,10.4,18.3,133.95833333333334

23,30.4,18,1009,48,4,11.3,25.9,69.25

21.3,30.7,16,1010,37,4,10.4,18.3,79.29166666666667

nan,nan,nan,nan,nan,nan,nan,nan,92.04166666666669

16.2,16.6,15.8,1011.9,95,3.5,16.9,25.9,31.625

18.8,25.2,15,1012.5,80,3.7,13.5,20.6,20.416666666666668

19.6,25.8,15.2,1013,56,3.7,10.4,18.3,61.125

nan,nan,nan,nan,nan,nan,nan,nan,87.79166666666667

nan,nan,nan,nan,nan,nan,nan,nan,95.375

nan,nan,nan,nan,nan,nan,nan,nan,81.95833333333333

24.4,31.3,17.4,1012.7,40,4,8.3,16.5,49.583333333333336

24.6,32.5,18.7,1013,47,4,6.7,14.8,34.916666666666664

22.9,30.1,16.4,1016.7,51,4,13.7,22.2,47.5

nan,nan,nan,nan,nan,nan,nan,nan,81.29166666666667

nan,nan,nan,nan,nan,nan,nan,nan,111.45833333333331

nan,nan,nan,nan,nan,nan,nan,nan,133.04166666666666

